epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.147,1.63209,3.28789,1.83622,0.89373,0.08531,0.0869,0.03436,1.9359,3.86095,2.14182,0.000301326,0.000301326,0.000301326
2,551.517,1.64255,2.79853,1.84956,0.78629,0.0696,0.09755,0.04513,1.81114,3.42889,2.15601,0.000598343,0.000598343,0.000598343
